employee_id,task_type,task_given_date,days_to_deadline,priority,original_completed_days,actual_hours_to_complete,is_completed,rating,perceived_difficulty,primary_skill_matching,secondary_skill_matching,ternary_skill_matching,volume_metric,dependency_score,error_risk,given_day_of_week,given_month,given_year
EMP_001,Bug Fix,2025-12-26,15,Medium,,,0,,3,0.68,0.43,0.05,3,1,1,4,12,2025
EMP_001,System Maintenance,2025-10-11,18,Low,1.7,15.4,1,5.0,1,0.77,0.53,0.48,2,3,0,5,10,2025
EMP_001,Documentation,2024-06-17,14,Medium,,,0,,2,0.88,0.24,0.1,2,1,2,0,6,2024
EMP_001,Bug Fix,2024-09-14,17,Low,4.5,27.2,1,4.8,2,0.73,0.51,0.13,3,3,2,5,9,2024
EMP_001,Bug Fix,2025-03-16,11,High,,,0,,5,0.83,0.43,0.19,5,5,5,6,3,2025
EMP_001,Data Pipeline,2024-12-09,14,Medium,3.5,26.8,1,4.8,2,0.68,0.35,0.2,3,3,2,0,12,2024
EMP_001,Documentation,2026-01-12,22,Low,8.2,59.5,1,3.8,4,0.75,0.57,0.14,5,4,2,0,1,2026
EMP_001,Documentation,2024-01-30,19,Medium,4.5,29.6,1,4.1,2,0.74,0.63,0.03,3,2,2,1,1,2024
EMP_001,Documentation,2024-05-11,18,Low,4.3,32.3,1,4.1,3,0.68,0.55,0.19,3,1,2,5,5,2024
EMP_001,Bug Fix,2026-04-18,14,Low,2.0,13.2,1,5.0,2,0.78,0.29,0.05,1,3,2,5,4,2026
EMP_001,Feature Development,2024-03-01,7,High,,,0,,2,0.83,0.38,0.02,1,2,2,4,3,2024
EMP_001,Bug Fix,2024-03-05,15,Medium,1.5,8.1,1,5.0,2,0.69,0.38,0.1,1,2,2,1,3,2024
EMP_001,Data Pipeline,2024-09-07,15,Medium,,,0,,3,0.7,0.4,0.09,3,2,2,5,9,2024
EMP_001,Code Review,2025-10-28,16,Low,3.1,24.6,1,4.8,2,0.88,0.86,0.26,3,2,1,1,10,2025
EMP_001,Feature Development,2024-08-23,13,Medium,,,0,,2,0.81,0.41,0.11,3,2,1,4,8,2024
EMP_001,Bug Fix,2024-07-23,18,Medium,,,0,,0,0.96,0.36,0.06,3,3,2,1,7,2024
EMP_001,Feature Development,2024-09-22,24,Low,3.3,26.8,1,5.0,2,0.91,0.42,0.25,3,3,2,6,9,2024
EMP_001,Feature Development,2026-05-08,18,Low,5.5,34.1,1,4.8,2,0.87,0.7,0.37,4,2,1,4,5,2026
EMP_001,Documentation,2026-04-06,6,Critical,,,0,,2,0.51,0.4,0.13,3,3,1,0,4,2026
EMP_001,Code Review,2025-06-08,9,High,2.6,18.1,1,3.6,2,0.74,0.43,0.15,2,2,3,6,6,2025
EMP_001,Data Pipeline,2026-05-21,16,Low,1.8,12.2,1,5.0,3,0.48,0.22,0.1,1,2,4,3,5,2026
EMP_001,Code Review,2025-01-07,8,High,3.3,28.5,1,3.7,2,0.73,0.4,0.12,3,3,2,1,1,2025
EMP_001,Bug Fix,2024-07-28,11,Medium,2.0,8.5,1,5.0,1,0.57,0.44,0.2,1,2,0,6,7,2024
EMP_001,Documentation,2025-10-28,19,Medium,4.1,31.6,1,4.8,3,0.75,0.56,0.1,3,5,2,1,10,2025
EMP_001,Documentation,2025-10-12,18,Low,2.1,11.7,1,5.0,2,0.96,0.46,0.25,1,3,2,6,10,2025
EMP_001,Code Review,2025-08-11,15,Low,,,0,,3,0.61,0.24,0.03,2,2,3,0,8,2025
EMP_001,Documentation,2024-05-02,8,High,2.3,22.8,1,5.0,1,0.96,0.43,0.27,3,1,0,3,5,2024
EMP_001,Code Review,2025-09-21,9,Critical,6.9,46.8,1,3.4,4,0.82,0.15,0.08,4,3,3,6,9,2025
EMP_001,Code Review,2026-04-27,9,High,,,0,,3,0.71,0.18,0.13,3,1,2,0,4,2026
EMP_001,Feature Development,2024-03-21,19,Medium,5.9,41.9,1,4.2,3,0.8,0.54,0.31,4,3,3,3,3,2024
EMP_001,Bug Fix,2025-03-19,23,Low,,,0,,3,0.58,0.42,0.24,4,1,3,2,3,2025
EMP_001,Bug Fix,2024-10-24,13,High,6.0,43.4,1,2.8,3,0.71,0.37,0.12,4,1,2,3,10,2024
EMP_001,Bug Fix,2024-04-11,9,Critical,,,0,,4,0.82,0.14,0.1,4,2,1,3,4,2024
EMP_001,Code Review,2025-08-31,18,Medium,0.9,12.8,1,5.0,1,0.79,0.38,0.1,2,1,1,6,8,2025
EMP_001,Feature Development,2025-10-11,20,Medium,,,0,,4,0.73,0.33,0.08,4,3,3,5,10,2025
EMP_001,Code Review,2024-07-30,8,High,,,0,,1,0.59,0.37,0.05,1,3,3,1,7,2024
EMP_001,System Maintenance,2024-12-05,10,Critical,,,0,,3,0.96,0.6,0.29,5,1,1,3,12,2024
EMP_001,Bug Fix,2025-03-12,22,Low,0.6,8.2,1,5.0,2,0.55,0.19,0.09,1,1,2,2,3,2025
EMP_001,Feature Development,2025-11-30,16,Medium,5.6,36.3,1,5.0,2,0.71,0.4,0.18,4,1,0,6,11,2025
EMP_001,Documentation,2024-06-14,14,Medium,5.2,42.0,1,3.5,3,0.6,0.22,0.11,4,0,1,4,6,2024
EMP_001,Bug Fix,2024-09-26,7,High,4.0,23.1,1,2.8,2,0.52,0.1,0.02,2,2,3,3,9,2024
EMP_001,Bug Fix,2025-05-21,21,Low,8.6,66.1,1,4.3,5,0.62,0.3,0.13,5,2,1,2,5,2025
EMP_001,Feature Development,2024-07-23,9,Medium,1.3,6.6,1,5.0,1,0.66,0.46,0.16,1,2,2,1,7,2024
EMP_001,Bug Fix,2026-03-04,23,Low,1.6,16.5,1,5.0,2,0.85,0.49,0.18,2,2,1,2,3,2026
EMP_001,System Maintenance,2025-03-03,12,Medium,2.6,20.7,1,4.7,3,0.63,0.23,0.15,2,3,3,0,3,2025
EMP_001,Data Pipeline,2024-02-05,14,Medium,0.8,4.9,1,5.0,0,0.86,0.4,0.18,1,1,0,0,2,2024
EMP_001,Code Review,2025-11-07,14,Medium,1.7,7.8,1,5.0,1,0.75,0.33,0.18,1,2,1,4,11,2025
EMP_001,Data Pipeline,2024-01-21,24,Low,3.5,27.0,1,5.0,1,0.74,0.56,0.12,3,2,2,6,1,2024
EMP_001,Data Pipeline,2024-06-15,26,Low,5.2,42.3,1,4.9,3,0.61,0.41,0.24,4,3,4,5,6,2024
EMP_001,Bug Fix,2024-03-20,15,Low,3.7,27.4,1,5.0,2,0.85,0.62,0.01,3,2,2,2,3,2024
EMP_001,Data Pipeline,2025-11-30,13,Low,1.9,15.9,1,5.0,2,0.91,0.26,0.15,2,2,4,6,11,2025
EMP_001,Code Review,2024-12-22,18,Medium,4.0,31.1,1,5.0,2,0.85,0.54,0.18,3,1,1,6,12,2024
EMP_001,Data Pipeline,2024-10-12,17,Medium,3.0,19.4,1,4.9,2,0.54,0.47,0.09,2,3,2,5,10,2024
EMP_001,Data Pipeline,2025-08-14,16,Low,2.2,18.2,1,5.0,2,0.77,0.18,0.1,2,3,2,3,8,2025
EMP_001,Feature Development,2024-05-24,17,Medium,2.8,17.6,1,5.0,1,0.91,0.29,0.04,2,1,0,4,5,2024
EMP_001,Bug Fix,2024-07-04,8,Critical,7.0,52.4,1,3.8,5,0.91,0.62,0.26,4,2,2,3,7,2024
EMP_001,Bug Fix,2024-01-24,22,Low,2.5,12.1,1,5.0,2,0.82,0.4,0.15,1,4,2,2,1,2024
EMP_001,Feature Development,2025-11-30,12,Medium,,,0,,2,0.97,0.35,0.19,1,3,3,6,11,2025
EMP_001,Data Pipeline,2026-01-09,17,Medium,4.6,32.7,1,3.6,3,0.77,0.3,0.13,3,2,3,4,1,2026
EMP_001,Data Pipeline,2025-11-08,10,High,5.1,36.7,1,3.9,2,0.97,0.46,0.26,4,1,2,5,11,2025
EMP_001,Bug Fix,2026-02-24,7,Critical,5.0,35.3,1,3.0,4,0.51,0.16,0.02,3,2,3,1,2,2026
EMP_001,Code Review,2024-01-08,17,Medium,3.9,25.9,1,5.0,2,0.78,0.6,0.42,3,3,2,0,1,2024
EMP_001,Feature Development,2025-11-04,28,Low,8.5,58.6,1,3.8,4,0.57,0.47,0.22,5,4,4,1,11,2025
EMP_001,Bug Fix,2025-05-24,17,Medium,2.4,24.2,1,5.0,1,0.54,0.16,0.11,3,1,1,5,5,2025
EMP_001,Bug Fix,2026-04-06,24,Low,3.1,19.0,1,5.0,2,0.25,0.17,0.05,2,2,2,0,4,2026
EMP_001,Feature Development,2025-05-18,19,Medium,8.0,56.5,1,3.4,4,0.76,0.52,0.03,5,3,3,6,5,2025
EMP_001,System Maintenance,2025-04-07,12,High,3.4,25.0,1,4.2,2,0.65,0.41,0.16,3,2,3,0,4,2025
EMP_001,Feature Development,2025-04-01,9,Medium,0.8,5.5,1,5.0,2,0.9,0.43,0.12,1,1,1,1,4,2025
EMP_001,Code Review,2024-02-21,6,Critical,4.0,29.9,1,3.0,2,0.37,0.16,0.05,3,0,3,2,2,2024
EMP_001,Documentation,2025-07-06,18,Low,5.3,30.8,1,3.5,3,0.52,0.26,0.12,3,2,4,6,7,2025
EMP_001,Feature Development,2024-01-23,12,Medium,0.5,9.5,1,5.0,1,0.75,0.48,0.26,1,3,1,1,1,2024
EMP_001,System Maintenance,2024-06-23,10,Medium,2.2,13.2,1,5.0,1,0.69,0.45,0.08,2,1,0,6,6,2024
EMP_001,System Maintenance,2024-07-12,17,Low,8.6,64.1,1,4.1,5,0.65,0.32,0.11,5,2,2,4,7,2024
EMP_001,Feature Development,2026-01-15,10,High,5.0,35.3,1,4.2,2,0.75,0.54,0.24,4,2,1,3,1,2026
EMP_001,Code Review,2024-02-18,15,Medium,2.0,9.4,1,5.0,2,0.8,0.58,0.31,1,2,0,6,2,2024
EMP_001,Feature Development,2024-11-14,20,Low,,,0,,2,0.8,0.1,0.02,2,2,2,3,11,2024
EMP_001,Feature Development,2024-05-05,11,High,4.4,30.7,1,3.2,3,0.47,0.27,0.11,3,1,3,6,5,2024
EMP_001,Bug Fix,2025-06-30,22,Low,,,0,,4,0.64,0.49,0.11,4,2,2,0,6,2025
EMP_001,Code Review,2024-12-11,14,Medium,5.3,41.6,1,4.9,3,0.77,0.33,0.12,4,1,1,2,12,2024
EMP_001,Code Review,2024-03-16,18,Low,1.4,7.3,1,5.0,0,0.87,0.39,0.04,1,1,1,5,3,2024
EMP_001,Bug Fix,2024-06-08,17,Medium,2.7,26.8,1,5.0,2,0.74,0.3,0.06,3,4,3,5,6,2024
EMP_001,Feature Development,2024-09-15,15,Medium,3.0,23.3,1,4.1,3,0.62,0.46,0.08,2,2,2,6,9,2024
EMP_001,System Maintenance,2024-03-28,18,Medium,2.6,17.7,1,5.0,2,0.55,0.3,0.03,2,2,2,3,3,2024
EMP_001,Bug Fix,2026-05-26,20,Low,1.4,11.4,1,5.0,1,0.91,0.48,0.27,2,1,2,1,5,2026
EMP_001,Bug Fix,2026-03-01,21,Low,2.8,21.0,1,5.0,3,0.44,0.26,0.03,2,3,4,6,3,2026
EMP_001,Code Review,2026-01-06,7,High,2.0,14.5,1,4.5,0,0.77,0.38,0.09,2,3,1,1,1,2026
EMP_001,System Maintenance,2026-03-14,19,Medium,,,0,,1,0.74,0.4,0.18,4,3,2,5,3,2026
EMP_001,Bug Fix,2024-12-19,13,Medium,4.5,32.3,1,4.6,2,0.83,0.33,0.22,3,4,2,3,12,2024
EMP_001,Documentation,2026-05-10,3,Critical,1.7,8.0,1,4.2,0,0.92,0.56,0.17,1,2,1,6,5,2026
EMP_001,Documentation,2025-08-15,7,High,1.4,11.3,1,4.8,2,0.83,0.36,0.09,1,2,1,4,8,2025
EMP_001,Bug Fix,2025-03-07,9,Medium,1.6,7.7,1,5.0,1,0.87,0.28,0.02,1,2,1,4,3,2025
EMP_001,Documentation,2026-04-06,9,Medium,1.3,8.9,1,5.0,2,0.84,0.68,0.3,1,3,2,0,4,2026
EMP_001,Feature Development,2025-11-13,16,Medium,,,0,,3,0.96,0.6,0.2,2,4,1,3,11,2025
EMP_001,Code Review,2025-09-18,14,Medium,3.5,23.7,1,5.0,4,0.64,0.24,0.05,2,2,1,3,9,2025
EMP_001,Code Review,2026-02-04,17,Low,0.5,6.8,1,5.0,1,0.69,0.1,0.01,1,2,0,2,2,2026
EMP_001,Code Review,2024-11-26,17,Low,,,0,,3,0.47,0.43,0.25,1,3,4,1,11,2024
EMP_001,Bug Fix,2024-01-18,11,High,3.4,30.0,1,4.6,3,0.8,0.41,0.11,3,2,2,3,1,2024
EMP_001,Data Pipeline,2024-08-18,15,Medium,3.8,28.5,1,4.6,2,0.9,0.41,0.16,3,2,1,6,8,2024
EMP_001,Feature Development,2026-04-02,11,High,5.7,45.1,1,3.9,4,0.77,0.45,0.09,4,2,3,3,4,2026
EMP_001,Bug Fix,2024-02-14,20,Medium,7.7,60.4,1,5.0,4,0.9,0.41,0.13,5,2,0,2,2,2024
EMP_001,Bug Fix,2025-05-27,8,High,2.5,20.9,1,4.7,1,0.85,0.21,0.12,3,3,2,1,5,2025
EMP_001,Code Review,2024-10-14,19,Low,2.6,17.2,1,5.0,2,0.93,0.51,0.18,2,2,2,0,10,2024
EMP_001,Documentation,2024-11-13,15,Medium,,,0,,3,0.71,0.32,0.13,3,2,2,2,11,2024
EMP_001,Bug Fix,2025-10-07,7,High,2.8,19.9,1,3.6,2,0.64,0.48,0.01,2,2,3,1,10,2025
EMP_001,Code Review,2025-05-27,18,Medium,,,0,,4,0.66,0.37,0.06,5,3,2,1,5,2025
EMP_001,Bug Fix,2024-05-06,12,High,6.2,47.1,1,3.3,4,0.74,0.62,0.27,4,4,3,0,5,2024
EMP_001,Code Review,2026-05-15,15,Medium,4.7,36.6,1,5.0,2,0.81,0.46,0.11,4,2,1,4,5,2026
EMP_001,Bug Fix,2025-03-26,12,Medium,3.9,29.4,1,4.5,2,0.93,0.8,0.19,3,2,2,2,3,2025
EMP_001,Documentation,2025-02-10,4,Critical,0.5,7.8,1,5.0,1,0.73,0.23,0.04,1,1,1,0,2,2025
EMP_001,Feature Development,2026-04-20,12,High,4.6,33.3,1,3.8,3,0.61,0.17,0.03,3,1,2,0,4,2026
EMP_001,System Maintenance,2024-07-21,20,Low,6.7,48.4,1,3.3,4,0.53,0.14,0.07,4,2,3,6,7,2024
EMP_001,Bug Fix,2025-04-29,10,High,3.5,27.4,1,3.5,2,0.51,0.27,0.03,3,3,3,1,4,2025
EMP_001,Feature Development,2025-08-07,13,Medium,,,0,,2,0.89,0.56,0.17,2,1,1,3,8,2025
EMP_001,Bug Fix,2026-03-13,14,Medium,4.3,32.8,1,4.0,3,0.83,0.32,0.12,3,2,2,4,3,2026
EMP_001,System Maintenance,2024-08-05,7,High,2.3,14.1,1,5.0,0,0.96,0.72,0.24,2,0,0,0,8,2024
EMP_001,Data Pipeline,2025-09-01,16,Low,0.6,9.2,1,5.0,1,0.8,0.18,0.05,1,2,2,0,9,2025
EMP_001,Feature Development,2026-02-16,14,Medium,1.7,12.6,1,5.0,1,0.92,0.2,0.04,2,0,0,0,2,2026
EMP_001,Documentation,2024-03-17,8,Critical,5.4,37.2,1,2.7,2,0.76,0.28,0.07,4,2,4,6,3,2024
EMP_001,Data Pipeline,2026-01-11,19,Low,,,0,,2,0.91,0.47,0.22,4,2,1,6,1,2026
EMP_001,Code Review,2025-09-06,12,Medium,1.3,6.0,1,5.0,1,0.84,0.64,0.11,1,3,2,5,9,2025
EMP_001,Code Review,2025-01-09,10,Medium,1.6,8.4,1,4.5,2,0.44,0.37,0.14,1,2,3,3,1,2025
EMP_001,Bug Fix,2024-07-01,3,Critical,1.4,9.4,1,3.5,2,0.58,0.11,0.05,1,1,3,0,7,2024
EMP_001,Bug Fix,2026-01-16,10,High,2.9,20.0,1,4.5,2,0.85,0.18,0.03,2,3,2,4,1,2026
EMP_001,Data Pipeline,2025-10-01,13,Medium,3.6,22.3,1,3.7,2,0.4,0.26,0.02,2,3,2,2,10,2025
EMP_001,System Maintenance,2025-05-20,12,Medium,1.7,13.0,1,5.0,0,0.84,0.64,0.13,2,2,0,1,5,2025
EMP_001,Code Review,2024-04-22,17,Low,,,0,,3,0.75,0.12,0.05,2,2,4,0,4,2024
EMP_001,Feature Development,2024-03-30,18,Low,0.9,6.9,1,5.0,0,0.46,0.31,0.12,1,1,1,5,3,2024
EMP_001,Feature Development,2025-04-28,6,Critical,3.9,27.5,1,3.2,2,0.69,0.2,0.03,3,1,2,0,4,2025
EMP_001,Documentation,2024-07-29,9,High,0.7,8.6,1,5.0,1,0.56,0.19,0.1,1,2,0,0,7,2024
EMP_001,Data Pipeline,2024-03-16,8,High,2.9,24.1,1,4.0,3,0.34,0.2,0.07,2,2,2,5,3,2024
EMP_001,Data Pipeline,2026-05-28,18,Medium,5.9,40.5,1,3.8,3,0.7,0.3,0.07,4,1,2,3,5,2026
EMP_001,Documentation,2024-03-08,12,High,7.0,53.9,1,3.6,5,0.34,0.19,0.04,4,4,3,4,3,2024
EMP_001,Code Review,2024-07-05,20,Low,6.2,43.1,1,4.0,3,0.84,0.58,0.16,4,3,2,4,7,2024
EMP_001,Bug Fix,2024-06-04,10,High,4.1,32.7,1,4.1,4,0.7,0.26,0.02,3,1,2,1,6,2024
EMP_001,Bug Fix,2025-08-25,19,Low,1.3,8.3,1,5.0,0,0.96,0.21,0.12,1,0,0,0,8,2025
EMP_001,Data Pipeline,2024-08-15,23,Low,1.0,14.6,1,5.0,1,0.72,0.22,0.03,2,3,3,3,8,2024
EMP_001,Code Review,2026-04-28,13,Medium,1.6,8.9,1,5.0,1,0.65,0.13,0.03,1,1,0,1,4,2026
EMP_001,Bug Fix,2025-05-13,18,Low,1.6,13.4,1,5.0,1,0.87,0.67,0.3,2,1,0,1,5,2025
EMP_001,Bug Fix,2024-12-14,4,Critical,1.0,9.2,1,4.0,1,0.66,0.54,0.13,1,2,3,5,12,2024
EMP_001,Documentation,2025-12-30,10,High,2.5,17.7,1,5.0,1,0.67,0.34,0.06,2,1,0,1,12,2025
EMP_001,Bug Fix,2025-10-26,11,Medium,1.4,7.5,1,5.0,1,0.77,0.47,0.1,1,1,1,6,10,2025
EMP_001,Bug Fix,2024-08-02,9,Medium,0.8,3.9,1,5.0,1,0.47,0.34,0.01,1,1,1,4,8,2024
EMP_001,Code Review,2024-01-27,10,High,2.3,15.2,1,5.0,1,0.65,0.15,0.08,2,0,0,5,1,2024
EMP_001,Documentation,2025-03-07,7,High,1.4,9.4,1,4.8,2,0.89,0.45,0.12,1,1,2,4,3,2025
EMP_001,Documentation,2025-12-10,25,Low,,,0,,3,0.67,0.38,0.05,3,1,3,2,12,2025
EMP_001,Bug Fix,2024-07-01,19,Medium,4.9,33.6,1,3.9,4,0.41,0.25,0.08,3,2,3,0,7,2024
EMP_001,Documentation,2025-03-29,10,High,7.0,47.7,1,4.0,4,0.75,0.31,0.08,4,2,2,5,3,2025
EMP_001,Bug Fix,2024-05-16,7,High,2.9,15.1,1,5.0,1,0.96,0.51,0.23,2,2,0,3,5,2024
EMP_001,Feature Development,2024-09-15,24,Low,,,0,,3,0.6,0.39,0.17,5,2,3,6,9,2024
EMP_001,Documentation,2024-04-11,21,Medium,8.7,59.3,1,3.8,4,0.64,0.38,0.05,5,2,2,3,4,2024
EMP_001,Code Review,2025-09-06,13,Medium,3.7,22.0,1,5.0,2,0.8,0.32,0.15,2,2,1,5,9,2025
EMP_001,Data Pipeline,2026-05-03,7,High,3.1,21.9,1,3.5,3,0.7,0.23,0.04,2,3,3,6,5,2026
EMP_001,Documentation,2025-09-28,12,Medium,3.1,20.6,1,4.5,2,0.57,0.12,0.01,2,2,2,6,9,2025
EMP_001,Code Review,2024-07-09,9,High,,,0,,3,0.7,0.36,0.11,2,3,2,1,7,2024
EMP_001,Bug Fix,2024-04-07,15,Medium,1.9,7.9,1,5.0,0,0.89,0.27,0.12,1,3,2,6,4,2024
EMP_001,Feature Development,2026-03-16,8,Critical,,,0,,3,0.87,0.44,0.21,4,2,2,0,3,2026
EMP_001,Feature Development,2024-04-06,4,Critical,1.2,6.2,1,4.6,0,0.64,0.12,0.04,1,1,0,5,4,2024
EMP_001,Bug Fix,2026-02-21,11,Medium,0.5,8.0,1,5.0,3,0.51,0.13,0.06,1,2,1,5,2,2026
EMP_001,System Maintenance,2025-09-16,12,Medium,1.6,18.3,1,5.0,2,0.52,0.2,0.07,2,2,1,1,9,2025
EMP_001,Feature Development,2024-02-06,8,High,0.7,8.8,1,5.0,2,0.7,0.11,0.01,1,2,2,1,2,2024
EMP_001,Data Pipeline,2025-04-26,26,Low,7.3,46.3,1,4.4,4,0.79,0.42,0.22,4,3,3,5,4,2025
EMP_001,Code Review,2024-03-27,27,Low,8.2,64.5,1,3.1,5,0.63,0.29,0.07,5,3,4,2,3,2024
EMP_001,Documentation,2025-04-09,6,High,1.5,9.1,1,4.8,1,0.48,0.26,0.07,1,0,1,2,4,2025
EMP_001,Code Review,2025-03-14,26,Low,6.6,50.6,1,4.2,3,0.8,0.6,0.07,5,2,4,4,3,2025
EMP_001,Code Review,2025-10-18,19,Medium,3.9,30.5,1,5.0,3,0.61,0.2,0.05,3,1,2,5,10,2025
EMP_001,Code Review,2025-11-09,19,Low,2.8,21.7,1,5.0,3,0.63,0.3,0.12,2,2,3,6,11,2025
EMP_001,Bug Fix,2025-12-13,11,Medium,2.7,21.7,1,4.0,2,0.6,0.44,0.22,2,3,3,5,12,2025
